transaction_id,date,time,store_id,channel,customer_id,item_id,item_name,quantity,unit_price,discount,total_price,payment_method,promo_code,order_datetime,order_date,order_time,order_hour,order_weekday,total_diff
T0000017,2025-06-01,07:02:00,TX003,in_store,C00124,1069,Lemonade,1,2.95,0.0,2.95,cash,BOGO,2025-06-01 07:02:00,2025-06-01,07:02:00,7,Sunday,0.0
T0000531,2025-06-01,07:02:00,CA001,in_store,C00442,1008,Caramel Macchiato,1,5.25,0.1,4.73,mobile_pay,PSL10,2025-06-01 07:02:00,2025-06-01,07:02:00,7,Sunday,0.0
T0000430,2025-06-01,07:02:00,NY005,in_store,C00940,1093,Roasted Tomato Mozzarella Panini,2,6.25,0.0,12.5,card,SUMMER15,2025-06-01 07:02:00,2025-06-01,07:02:00,7,Sunday,0.0
T0000176,2025-06-01,07:02:00,CA006,mobile_app,C00558,1061,Iced Matcha Latte,2,5.15,0.1,9.27,card,,2025-06-01 07:02:00,2025-06-01,07:02:00,7,Sunday,0.0
T0000300,2025-06-01,07:02:00,CA003,in_store,C00511,1004,Caffè Americano,2,3.25,0.05,6.17,card,,2025-06-01 07:02:00,2025-06-01,07:02:00,7,Sunday,-0.01
T0000059,2025-06-01,07:03:00,NY006,mobile_app,C00083,1099,Bistro Box: Eggs & Cheddar,2,5.45,0.05,10.36,card,BOGO,2025-06-01 07:03:00,2025-06-01,07:03:00,7,Sunday,0.0
T0000307,2025-06-01,07:04:00,CA003,in_store,C00315,1032,Iced Peppermint Mocha,2,6.15,0.0,12.3,card,,2025-06-01 07:04:00,2025-06-01,07:04:00,7,Sunday,0.0
T0000230,2025-06-01,07:04:00,CA006,in_store,C00031,1073,Steamed Milk,1,2.65,0.0,2.65,card,,2025-06-01 07:04:00,2025-06-01,07:04:00,7,Sunday,0.0
T0000229,2025-06-01,07:04:00,CA006,in_store,C00002,1036,Iced Toasted White Chocolate Mocha,1,6.15,0.0,6.15,cash,,2025-06-01 07:04:00,2025-06-01,07:04:00,7,Sunday,0.0
T0000395,2025-06-01,07:04:00,CA005,mobile_app,C00321,1046,Peppermint Mocha Frappuccino,1,6.05,0.0,6.05,mobile_pay,PSL10,2025-06-01 07:04:00,2025-06-01,07:04:00,7,Sunday,0.0
T0000347,2025-06-01,07:05:00,CA003,in_store,C00540,1020,Iced Caramel Macchiato,2,5.45,0.05,10.36,card,,2025-06-01 07:05:00,2025-06-01,07:05:00,7,Sunday,0.0
T0000181,2025-06-01,07:07:00,CA006,in_store,C00584,1093,Roasted Tomato Mozzarella Panini,1,6.25,0.0,6.25,mobile_pay,,2025-06-01 07:07:00,2025-06-01,07:07:00,7,Sunday,0.0
T0000222,2025-06-01,07:08:00,CA006,in_store,C00761,1023,Vanilla Sweet Cream Cold Brew,1,4.75,0.0,4.75,card,,2025-06-01 07:08:00,2025-06-01,07:08:00,7,Sunday,0.0
T0000382,2025-06-01,07:08:00,CA005,in_store,C00423,1073,Steamed Milk,1,2.65,0.0,2.65,card,PSL10,2025-06-01 07:08:00,2025-06-01,07:08:00,7,Sunday,0.0
T0000397,2025-06-01,07:08:00,CA005,mobile_app,C00940,1051,Chai Tea Latte,1,4.65,0.0,4.65,card,,2025-06-01 07:08:00,2025-06-01,07:08:00,7,Sunday,0.0
T0000001,2025-06-01,07:08:00,TX003,in_store,C00606,1081,Almond Croissant,1,3.65,0.05,3.47,card,SUMMER15,2025-06-01 07:08:00,2025-06-01,07:08:00,7,Sunday,0.0
T0000564,2025-06-01,07:09:00,NY007,in_store,C00463,1004,Caffè Americano,2,3.25,0.0,6.5,card,BOGO,2025-06-01 07:09:00,2025-06-01,07:09:00,7,Sunday,0.0
T0000262,2025-06-01,07:10:00,TX001,in_store,C00996,1005,Caffè Latte,1,4.45,0.0,4.45,card,NEWAPP5,2025-06-01 07:10:00,2025-06-01,07:10:00,7,Sunday,0.0
T0000553,2025-06-01,07:10:00,NY007,in_store,C00733,1021,Iced White Chocolate Mocha,1,5.75,0.0,5.75,mobile_pay,,2025-06-01 07:10:00,2025-06-01,07:10:00,7,Sunday,0.0
T0000169,2025-06-01,07:10:00,CA006,mobile_app,C00633,1034,Iced Gingerbread Latte,1,5.85,0.0,5.85,mobile_pay,,2025-06-01 07:10:00,2025-06-01,07:10:00,7,Sunday,0.0
T0000086,2025-06-01,07:11:00,NY006,in_store,C00794,1009,Mocha,2,5.15,0.0,10.3,card,,2025-06-01 07:11:00,2025-06-01,07:11:00,7,Sunday,0.0
T0000332,2025-06-01,07:11:00,CA003,in_store,C00410,1010,White Chocolate Mocha,1,5.55,0.0,5.55,mobile_pay,PSL10,2025-06-01 07:11:00,2025-06-01,07:11:00,7,Sunday,0.0
T0000439,2025-06-01,07:12:00,NY005,in_store,C00740,1004,Caffè Americano,1,3.25,0.0,3.25,mobile_pay,,2025-06-01 07:12:00,2025-06-01,07:12:00,7,Sunday,0.0
T0000337,2025-06-01,07:12:00,CA003,in_store,C00801,1004,Caffè Americano,2,3.25,0.05,6.17,card,BOGO,2025-06-01 07:12:00,2025-06-01,07:12:00,7,Sunday,-0.01
T0000331,2025-06-01,07:12:00,CA003,in_store,C00527,1027,Cold Brew With Salted Caramel Cold Foam,2,5.25,0.0,10.5,card,NEWAPP5,2025-06-01 07:12:00,2025-06-01,07:12:00,7,Sunday,0.0
T0000200,2025-06-01,07:12:00,CA006,in_store,C00029,1080,Chocolate Croissant,1,3.45,0.0,3.45,card,,2025-06-01 07:12:00,2025-06-01,07:12:00,7,Sunday,0.0
T0000049,2025-06-01,07:13:00,TX003,in_store,C00870,1075,Banana Nut Muffin,2,3.15,0.0,6.3,mobile_pay,,2025-06-01 07:13:00,2025-06-01,07:13:00,7,Sunday,0.0
T0000565,2025-06-01,07:14:00,NY007,mobile_app,C00143,1024,Nitro Cold Brew,1,4.95,0.0,4.95,card,NEWAPP5,2025-06-01 07:14:00,2025-06-01,07:14:00,7,Sunday,0.0
T0000567,2025-06-01,07:14:00,NY007,mobile_app,C00507,1027,Cold Brew With Salted Caramel Cold Foam,2,5.25,0.0,10.5,card,SUMMER15,2025-06-01 07:14:00,2025-06-01,07:14:00,7,Sunday,0.0
T0000321,2025-06-01,07:14:00,CA003,mobile_app,C00100,1002,Pike Place Roast,2,2.95,0.0,5.9,cash,PSL10,2025-06-01 07:14:00,2025-06-01,07:14:00,7,Sunday,0.0
T0000452,2025-06-01,07:15:00,NY005,mobile_app,C00073,1002,Pike Place Roast,2,2.95,0.0,5.9,mobile_pay,,2025-06-01 07:15:00,2025-06-01,07:15:00,7,Sunday,0.0
T0000123,2025-06-01,07:15:00,NY009,in_store,C00262,1070,Spindrift Sparkling Water,1,2.75,0.0,2.75,card,PSL10,2025-06-01 07:15:00,2025-06-01,07:15:00,7,Sunday,0.0
T0000026,2025-06-01,07:15:00,TX003,in_store,C00347,1025,Chocolate Cream Cold Brew,1,5.15,0.05,4.89,card,,2025-06-01 07:15:00,2025-06-01,07:15:00,7,Sunday,0.0
T0000470,2025-06-01,07:15:00,NY005,mobile_app,C00372,1090,Ham & Swiss Croissant,1,4.25,0.0,4.25,card,BOGO,2025-06-01 07:15:00,2025-06-01,07:15:00,7,Sunday,0.0
T0000363,2025-06-01,07:16:00,CA003,in_store,C00339,1058,Iced Green Tea Lemonade,2,3.75,0.0,7.5,mobile_pay,BOGO,2025-06-01 07:16:00,2025-06-01,07:16:00,7,Sunday,0.0
T0000572,2025-06-01,07:16:00,NY007,mobile_app,C00164,1095,Chicken Caprese Sandwich,1,6.95,0.0,6.95,cash,,2025-06-01 07:16:00,2025-06-01,07:16:00,7,Sunday,0.0
T0000081,2025-06-01,07:18:00,NY006,in_store,C00638,1055,Iced Green Tea,2,3.25,0.0,6.5,card,,2025-06-01 07:18:00,2025-06-01,07:18:00,7,Sunday,0.0
T0000276,2025-06-01,07:18:00,TX001,mobile_app,C00549,1006,Cappuccino,2,4.45,0.0,8.9,card,PSL10,2025-06-01 07:18:00,2025-06-01,07:18:00,7,Sunday,0.0
T0000005,2025-06-01,07:18:00,TX003,mobile_app,C00342,1001,Blonde Roast,2,2.95,0.0,5.9,cash,,2025-06-01 07:18:00,2025-06-01,07:18:00,7,Sunday,0.0
T0000370,2025-06-01,07:19:00,CA005,in_store,C00502,1065,Kiwi Starfruit Refresher,2,4.45,0.0,8.9,mobile_pay,SUMMER15,2025-06-01 07:19:00,2025-06-01,07:19:00,7,Sunday,0.0
T0000078,2025-06-01,07:19:00,NY006,in_store,C00030,1049,Mint Majesty Herbal Tea,1,2.95,0.0,2.95,mobile_pay,,2025-06-01 07:19:00,2025-06-01,07:19:00,7,Sunday,0.0
T0000052,2025-06-01,07:19:00,TX003,in_store,C00439,1097,Pb&J Protein Box,2,5.95,0.15,10.12,card,NEWAPP5,2025-06-01 07:19:00,2025-06-01,07:19:00,7,Sunday,0.0
T0000170,2025-06-01,07:19:00,CA006,in_store,C00939,1082,Everything Bagel,1,2.45,0.0,2.45,card,,2025-06-01 07:19:00,2025-06-01,07:19:00,7,Sunday,0.0
T0000583,2025-06-01,07:20:00,NY007,mobile_app,C00486,1085,Cheese Danish,1,3.25,0.15,2.76,cash,SUMMER15,2025-06-01 07:20:00,2025-06-01,07:20:00,7,Sunday,0.0
T0000426,2025-06-01,07:20:00,NY005,in_store,C00741,1098,Cheese & Fruit Protein Box,1,6.25,0.1,5.62,card,SUMMER15,2025-06-01 07:20:00,2025-06-01,07:20:00,7,Sunday,0.0
T0000332,2025-06-01,07:20:00,CA003,in_store,C00410,1024,Nitro Cold Brew,1,4.95,0.05,4.7,mobile_pay,PSL10,2025-06-01 07:20:00,2025-06-01,07:20:00,7,Sunday,0.0
T0000375,2025-06-01,07:20:00,CA005,in_store,C00992,1062,Strawberry Açaí Refresher,2,4.45,0.0,8.9,cash,BOGO,2025-06-01 07:20:00,2025-06-01,07:20:00,7,Sunday,0.0
T0000429,2025-06-01,07:21:00,NY005,mobile_app,C00844,1098,Cheese & Fruit Protein Box,2,6.25,0.15,10.62,card,PSL10,2025-06-01 07:21:00,2025-06-01,07:21:00,7,Sunday,0.0
T0000039,2025-06-01,07:22:00,TX003,in_store,C00121,1045,Pumpkin Spice Frappuccino,2,5.95,0.0,11.9,card,,2025-06-01 07:22:00,2025-06-01,07:22:00,7,Sunday,0.0
T0000375,2025-06-01,07:22:00,CA005,in_store,C00992,1097,Pb&J Protein Box,2,5.95,0.1,10.71,cash,BOGO,2025-06-01 07:22:00,2025-06-01,07:22:00,7,Sunday,0.0
T0000238,2025-06-01,07:23:00,TX001,in_store,C00576,1008,Caramel Macchiato,2,5.25,0.05,9.97,cash,BOGO,2025-06-01 07:23:00,2025-06-01,07:23:00,7,Sunday,-0.01
T0000253,2025-06-01,07:23:00,TX001,mobile_app,C00194,1087,Bacon Gouda Sandwich,2,4.95,0.0,9.9,card,NEWAPP5,2025-06-01 07:23:00,2025-06-01,07:23:00,7,Sunday,0.0
T0000089,2025-06-01,07:24:00,NY006,mobile_app,C00459,1060,Iced Chai Tea Latte,1,4.85,0.0,4.85,card,,2025-06-01 07:24:00,2025-06-01,07:24:00,7,Sunday,0.0
T0000462,2025-06-01,07:24:00,NY005,mobile_app,C00157,1066,Pink Drink,2,4.95,0.05,9.4,card,BOGO,2025-06-01 07:24:00,2025-06-01,07:24:00,7,Sunday,0.0
T0000394,2025-06-01,07:25:00,CA005,in_store,C00598,1071,Bottled Water,2,2.25,0.0,4.5,card,,2025-06-01 07:25:00,2025-06-01,07:25:00,7,Sunday,0.0
T0000515,2025-06-01,07:25:00,CA001,mobile_app,C00763,1064,Pineapple Passionfruit Refresher,1,4.45,0.0,4.45,mobile_pay,NEWAPP5,2025-06-01 07:25:00,2025-06-01,07:25:00,7,Sunday,0.0
T0000227,2025-06-01,07:27:00,CA006,in_store,C00351,1100,Sous Vide Egg Bites,1,4.65,0.0,4.65,card,,2025-06-01 07:27:00,2025-06-01,07:27:00,7,Sunday,0.0
T0000305,2025-06-01,07:27:00,CA003,mobile_app,C00385,1054,Iced Black Tea,2,3.25,0.05,6.17,cash,,2025-06-01 07:27:00,2025-06-01,07:27:00,7,Sunday,-0.01
T0000339,2025-06-01,07:28:00,CA003,in_store,C00242,1048,Royal English Breakfast Tea,1,2.95,0.15,2.51,card,SUMMER15,2025-06-01 07:28:00,2025-06-01,07:28:00,7,Sunday,0.0
T0000045,2025-06-01,07:28:00,TX003,in_store,C00304,1011,Espresso,2,2.65,0.0,5.3,cash,NEWAPP5,2025-06-01 07:28:00,2025-06-01,07:28:00,7,Sunday,0.0
T0000364,2025-06-01,07:28:00,CA003,in_store,C00059,1017,Toasted White Chocolate Latte,2,5.05,0.0,10.1,card,,2025-06-01 07:28:00,2025-06-01,07:28:00,7,Sunday,0.0
T0000578,2025-06-01,07:29:00,NY007,mobile_app,C00898,1083,Plain Bagel,2,2.25,0.05,4.27,card,NEWAPP5,2025-06-01 07:29:00,2025-06-01,07:29:00,7,Sunday,0.0
T0000268,2025-06-01,07:30:00,TX001,in_store,C00409,1078,Lemon Loaf,1,3.25,0.05,3.09,card,,2025-06-01 07:30:00,2025-06-01,07:30:00,7,Sunday,0.0
T0000575,2025-06-01,07:30:00,NY007,in_store,C00110,1084,Multigrain Bagel,1,2.45,0.0,2.45,card,,2025-06-01 07:30:00,2025-06-01,07:30:00,7,Sunday,0.0
T0000108,2025-06-01,07:30:00,NY006,in_store,C00682,1082,Everything Bagel,1,2.45,0.0,2.45,card,,2025-06-01 07:30:00,2025-06-01,07:30:00,7,Sunday,0.0
T0000341,2025-06-01,07:32:00,CA003,mobile_app,C00761,1084,Multigrain Bagel,1,2.45,0.0,2.45,card,,2025-06-01 07:32:00,2025-06-01,07:32:00,7,Sunday,0.0
T0000280,2025-06-01,07:32:00,TX001,in_store,C00347,1074,Blueberry Muffin,2,2.95,0.1,5.31,card,SUMMER15,2025-06-01 07:32:00,2025-06-01,07:32:00,7,Sunday,0.0
T0000484,2025-06-01,07:33:00,CA001,in_store,C00807,1043,Strawberries & Crème Frappuccino,2,5.25,0.0,10.5,card,,2025-06-01 07:33:00,2025-06-01,07:33:00,7,Sunday,0.0
T0000570,2025-06-01,07:33:00,NY007,in_store,C00362,1011,Espresso,2,2.65,0.0,5.3,card,,2025-06-01 07:33:00,2025-06-01,07:33:00,7,Sunday,0.0
T0000028,2025-06-01,07:33:00,TX003,in_store,C00348,1098,Cheese & Fruit Protein Box,1,6.25,0.0,6.25,cash,,2025-06-01 07:33:00,2025-06-01,07:33:00,7,Sunday,0.0
T0000069,2025-06-01,07:34:00,NY006,in_store,C00813,1009,Mocha,2,5.15,0.0,10.3,card,SUMMER15,2025-06-01 07:34:00,2025-06-01,07:34:00,7,Sunday,0.0
T0000361,2025-06-01,07:35:00,CA003,in_store,C00465,1084,Multigrain Bagel,2,2.45,0.1,4.41,mobile_pay,,2025-06-01 07:35:00,2025-06-01,07:35:00,7,Sunday,0.0
T0000124,2025-06-01,07:35:00,NY009,in_store,C00662,1057,Iced Black Tea Lemonade,1,3.75,0.05,3.56,card,,2025-06-01 07:35:00,2025-06-01,07:35:00,7,Sunday,0.0
T0000173,2025-06-01,07:35:00,CA006,in_store,C00226,1084,Multigrain Bagel,1,2.45,0.0,2.45,cash,,2025-06-01 07:35:00,2025-06-01,07:35:00,7,Sunday,0.0
T0000236,2025-06-01,07:35:00,TX001,in_store,C00970,1074,Blueberry Muffin,1,2.95,0.0,2.95,card,,2025-06-01 07:35:00,2025-06-01,07:35:00,7,Sunday,0.0
T0000238,2025-06-01,07:35:00,TX001,in_store,C00576,1079,Butter Croissant,2,3.25,0.05,6.17,cash,BOGO,2025-06-01 07:35:00,2025-06-01,07:35:00,7,Sunday,-0.01
T0000355,2025-06-01,07:35:00,CA003,in_store,C00466,1025,Chocolate Cream Cold Brew,2,5.15,0.1,9.27,cash,BOGO,2025-06-01 07:35:00,2025-06-01,07:35:00,7,Sunday,0.0
T0000473,2025-06-01,07:36:00,NY005,mobile_app,C00386,1074,Blueberry Muffin,2,2.95,0.15,5.02,cash,SUMMER15,2025-06-01 07:36:00,2025-06-01,07:36:00,7,Sunday,0.0
T0000334,2025-06-01,07:36:00,CA003,mobile_app,C00343,1002,Pike Place Roast,1,2.95,0.1,2.66,mobile_pay,,2025-06-01 07:36:00,2025-06-01,07:36:00,7,Sunday,0.0
T0000358,2025-06-01,07:36:00,CA003,in_store,C00192,1015,Vanilla Latte,1,4.75,0.0,4.75,mobile_pay,NEWAPP5,2025-06-01 07:36:00,2025-06-01,07:36:00,7,Sunday,0.0
T0000415,2025-06-01,07:36:00,NY005,in_store,C00624,1084,Multigrain Bagel,1,2.45,0.1,2.21,cash,,2025-06-01 07:36:00,2025-06-01,07:36:00,7,Sunday,0.01
T0000493,2025-06-01,07:37:00,CA001,mobile_app,C00482,1058,Iced Green Tea Lemonade,2,3.75,0.0,7.5,mobile_pay,SUMMER15,2025-06-01 07:37:00,2025-06-01,07:37:00,7,Sunday,0.0
T0000448,2025-06-01,07:37:00,NY005,in_store,C00232,1097,Pb&J Protein Box,2,5.95,0.0,11.9,card,,2025-06-01 07:37:00,2025-06-01,07:37:00,7,Sunday,0.0
T0000233,2025-06-01,07:37:00,TX001,in_store,C00068,1060,Iced Chai Tea Latte,2,4.85,0.15,8.24,card,,2025-06-01 07:37:00,2025-06-01,07:37:00,7,Sunday,0.0
T0000551,2025-06-01,07:39:00,NY007,in_store,C00351,1043,Strawberries & Crème Frappuccino,2,5.25,0.05,9.97,mobile_pay,PSL10,2025-06-01 07:39:00,2025-06-01,07:39:00,7,Sunday,-0.01
T0000506,2025-06-01,07:39:00,CA001,in_store,C00224,1002,Pike Place Roast,2,2.95,0.0,5.9,cash,,2025-06-01 07:39:00,2025-06-01,07:39:00,7,Sunday,0.0
T0000414,2025-06-01,07:39:00,CA005,in_store,C00847,1028,Cold Brew With Pumpkin Cream Cold Foam,2,5.25,0.0,10.5,card,,2025-06-01 07:39:00,2025-06-01,07:39:00,7,Sunday,0.0
T0000256,2025-06-01,07:40:00,TX001,in_store,C00159,1032,Iced Peppermint Mocha,1,6.15,0.1,5.54,mobile_pay,,2025-06-01 07:40:00,2025-06-01,07:40:00,7,Sunday,0.0
T0000513,2025-06-01,07:40:00,CA001,in_store,C00051,1051,Chai Tea Latte,2,4.65,0.0,9.3,mobile_pay,PSL10,2025-06-01 07:40:00,2025-06-01,07:40:00,7,Sunday,0.0
T0000421,2025-06-01,07:41:00,NY005,in_store,C00747,1036,Iced Toasted White Chocolate Mocha,2,6.15,0.0,12.3,card,,2025-06-01 07:41:00,2025-06-01,07:41:00,7,Sunday,0.0
T0000027,2025-06-01,07:41:00,TX003,in_store,C00664,1085,Cheese Danish,1,3.25,0.0,3.25,mobile_pay,,2025-06-01 07:41:00,2025-06-01,07:41:00,7,Sunday,0.0
T0000187,2025-06-01,07:42:00,CA006,in_store,C00870,1026,Cold Brew With Vanilla Sweet Cream Cold Foam,2,5.25,0.0,10.5,mobile_pay,PSL10,2025-06-01 07:42:00,2025-06-01,07:42:00,7,Sunday,0.0
T0000281,2025-06-01,07:42:00,TX001,in_store,C00827,1093,Roasted Tomato Mozzarella Panini,2,6.25,0.0,12.5,card,,2025-06-01 07:42:00,2025-06-01,07:42:00,7,Sunday,0.0
T0000064,2025-06-01,07:42:00,NY006,in_store,C00508,1042,Matcha Crème Frappuccino,1,5.45,0.0,5.45,card,,2025-06-01 07:42:00,2025-06-01,07:42:00,7,Sunday,0.0
T0000540,2025-06-01,07:42:00,NY007,in_store,C00270,1054,Iced Black Tea,1,3.25,0.0,3.25,card,,2025-06-01 07:42:00,2025-06-01,07:42:00,7,Sunday,0.0
T0000522,2025-06-01,07:43:00,CA001,in_store,C00967,1020,Iced Caramel Macchiato,1,5.45,0.0,5.45,card,BOGO,2025-06-01 07:43:00,2025-06-01,07:43:00,7,Sunday,0.0
T0000214,2025-06-01,07:44:00,CA006,in_store,C00810,1098,Cheese & Fruit Protein Box,2,6.25,0.0,12.5,mobile_pay,BOGO,2025-06-01 07:44:00,2025-06-01,07:44:00,7,Sunday,0.0
T0000477,2025-06-01,07:45:00,CA001,in_store,C00418,1094,Turkey Pesto Panini,2,6.95,0.0,13.9,card,BOGO,2025-06-01 07:45:00,2025-06-01,07:45:00,7,Sunday,0.0
T0000089,2025-06-01,07:46:00,NY006,mobile_app,C00459,1006,Cappuccino,2,4.45,0.0,8.9,card,,2025-06-01 07:46:00,2025-06-01,07:46:00,7,Sunday,0.0
